article,text
Section 153A,"discrimination based on religion, race, caste, sex, or place of birth Promotes enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and does acts prejudicial to the maintenance of harmony."
Section 375,Defines rape and describes the circumstances under which an act is considered rape.
Section 376,"Prescribes the punishment for rape, including different categories and conditions under which the punishment varies, such as for repeat offenders or when the rape involves aggravating factors."
Section 153A,Addresses acts that promote enmity between different groups and is relevant in the context of ensuring equality and preventing discrimination.
Section 302,"Section 302 IPC defines murder as an act of intentionally killing another person, and the punishment can range from life imprisonment to death."
Section 392,"Section 392 IPC defines robbery as taking or attempting to take property from a person using force or fear, and the punishment can range from 3 to 10 years imprisonment."
Section 363,"Section 363 IPC defines kidnapping as taking or enticing a person away from their lawful guardian, and the punishment can range from 7 to 14 years imprisonment."
Section 378,"Section 378 IPC defines theft as dishonestly taking or misappropriating property, and the punishment can range from 3 to 7 years imprisonment."
 Section 420,"Section 420 IPC defines cheating as deceiving or inducing a person to deliver property or valuable security, and the punishment can range from 7 years to life imprisonment."
 Section 351," Section 351 IPC defines assault as an offer or threat to apply force to another person, and the punishment can range from 1 to 3 years imprisonment."
Section 383 ,"Section 383 IPC defines extortion as obtaining property or valuable security by threatening or intimidating a person, and the punishment can range from 3 to 10 years imprisonment."
Section 498A ,"Section 498A IPC defines cruelty by husband or relatives as subjecting a woman to physical or mental cruelty, and the punishment can range from 3 to 7 years imprisonment."
 Section 308 ,"Section 308 IPC defines attempt to commit culpable homicide as attempting to cause the death of a person, and the punishment can range from 3 to 7 years imprisonment."
 Section 454," Section 454 IPC defines house breaking as breaking and entering into a dwelling house with the intention of committing a crime, and the punishment can range from 2 to 7 years imprisonment."
 Section 323,"Section 323 IPC defines voluntarily causing hurt as intentionally causing physical harm to another person, and the punishment can range from 1 to 3 years imprisonment."
Section 506 ," Section 506 IPC defines criminal intimidation as threatening or intimidating a person with the intention of causing fear or alarm, and the punishment can range from 2 to 7 years imprisonment."
 Section 377 ,"Section 377 IPC defines unnatural offences as engaging in carnal intercourse against the order of nature, and the punishment can range from 10 years to life imprisonment."
 Section 143,"Section 143 IPC defines unlawful assembly as gathering with others to disturb the peace, and the punishment can range from 6 months to 2 years imprisonment."
Section 153A,"Section 153A IPC defines promoting enmity between different groups as promoting hatred or ill-will between different communities, and the punishment can range from 3 to 5 years imprisonment."
Section 295 ," Section 295 IPC defines destroying, damaging or defiling a place of worship as intentionally destroying or damaging a place of worship, and the punishment can range from 2 to 5 years imprisonment."
Section 296 ,"Section 296 IPC defines disturbing a religious assembly as intentionally disturbing a religious assembly, and the punishment can range from 1 to 3 years imprisonment."
Section 505,"Section 505 IPC defines propagating false news with intent to cause public alarm as intentionally spreading false news that causes public alarm, and the punishment can range from 3 to 5 years imprisonment."
Section 504,"Section 504 IPC defines wantonly giving provocation with intent to cause riot as intentionally provoking someone to commit a riot, and the punishment can range from 1 to 3 years imprisonment."
Section 108A ,"Section 108A IPC defines inciting a person to commit an offence as inciting someone to commit a crime, and the punishment can range from 3 to 5 years imprisonment."
